Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,24
Cowley Ridge (CRW1),38,0,2015,4,9,13,24
Enmax Taber (TAB1),81,3,2015,4,9,13,24
Ghost Pine (NEP1),82,0,2015,4,9,13,24
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,24
Kettles Hill (KHW1),63,0,2015,4,9,13,24
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,24
Oldman 2 Wind Farm 1 (OWF1),46,9,2015,4,9,13,24
Soderglen Wind  (GWW1),71,9,2015,4,9,13,24
Summerview 1 (IEW1),66,1,2015,4,9,13,24
Summerview 2 (IEW2),66,4,2015,4,9,13,24
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,24
Suncor Magrath (SCR2),30,2,2015,4,9,13,24
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,24
Ardenville Wind (ARD1),68,3,2015,4,9,13,25
Blackspring Ridge (BSR1),300,1,2015,4,9,13,25
Blue Trail Wind (BTR1),66,0,2015,4,9,13,25
Castle River #1 (CR1),39,0,2015,4,9,13,25
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,25
Cowley Ridge (CRW1),38,0,2015,4,9,13,25
Enmax Taber (TAB1),81,3,2015,4,9,13,25
Ghost Pine (NEP1),82,0,2015,4,9,13,25
